future_score,score,num_food,num_capsules,pacman_x,pacman_y,ghost0_x,ghost0_y,ghost1_x,ghost1_y,ghost2_x,ghost2_y,ghost3_x,ghost3_y,north,south,east,west,stop,prev_action
274,275,0,4,12,15,1,9,10,13,-1,-1,-1,-1,1,1,1,West
273,274,0,4,11,15,1,10,9,13,-1,-1,-1,-1,1,1,1,West
272,273,0,4,10,15,1,9,9,13,-1,-1,-1,-1,1,1,West
271,272,0,4,11,15,1,10,9,13,-1,-1,-1,-1,1,1,1,East
270,271,0,4,10,15,1,9,8,13,-1,-1,-1,-1,1,1,West
269,270,0,4,11,15,1,9,8,14,-1,-1,-1,-1,1,1,1,East
268,269,0,4,10,15,1,9,8,13,-1,-1,-1,-1,1,1,West
267,268,0,4,11,15,1,8,8,12,-1,-1,-1,-1,1,1,1,East
266,267,0,4,10,15,2,8,8,11,-1,-1,-1,-1,1,1,West
265,266,0,4,11,15,1,8,8,11,-1,-1,-1,-1,1,1,1,East
264,265,0,4,10,15,2,8,8,12,-1,-1,-1,-1,1,1,West
263,264,0,4,11,15,3,8,8,13,-1,-1,-1,-1,1,1,1,East
262,263,0,4,10,15,3,7,9,13,-1,-1,-1,-1,1,1,West
261,262,0,4,11,15,3,7,8,13,-1,-1,-1,-1,1,1,1,East
260,261,0,4,10,15,3,7,8,12,-1,-1,-1,-1,1,1,West
259,260,0,4,11,15,3,6,8,12,-1,-1,-1,-1,1,1,1,East
258,259,0,4,10,15,3,6,8,12,-1,-1,-1,-1,1,1,West
257,258,0,4,11,15,3,6,8,11,-1,-1,-1,-1,1,1,1,East
256,257,0,4,12,15,3,6,8,11,-1,-1,-1,-1,1,1,1,East
255,256,0,4,11,15,3,6,8,12,-1,-1,-1,-1,1,1,1,West
254,255,0,4,10,15,3,6,8,13,-1,-1,-1,-1,1,1,West
253,254,0,4,11,15,3,7,8,13,-1,-1,-1,-1,1,1,1,East
252,253,0,4,10,15,3,7,9,13,-1,-1,-1,-1,1,1,West
251,252,0,4,11,15,3,8,9,13,-1,-1,-1,-1,1,1,1,East
250,251,0,4,10,15,3,7,8,13,-1,-1,-1,-1,1,1,West
249,250,0,4,11,15,3,7,8,14,-1,-1,-1,-1,1,1,1,East
248,249,0,4,10,15,3,6,8,13,-1,-1,-1,-1,1,1,West
247,248,0,4,11,15,3,5,8,13,-1,-1,-1,-1,1,1,1,East
246,247,0,4,10,15,3,5,8,12,-1,-1,-1,-1,1,1,West
245,246,0,4,11,15,2,5,8,11,-1,-1,-1,-1,1,1,1,East
