@RELATION training_keyboard


   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE prev_score NUMERIC
   @ATTRIBUTE prev_action {Stop,West,East,North,South}
   @ATTRIBUTE num_food NUMERIC
   @ATTRIBUTE num_capsules NUMERIC
   @ATTRIBUTE pacman_x NUMERIC
   @ATTRIBUTE pacman_y NUMERIC
   @ATTRIBUTE ghost0_x NUMERIC
   @ATTRIBUTE ghost0_y NUMERIC
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC


   @data
-33,-34,West,0,4,24,11,12,15,12,17,14,17,14,15
-34,-35,West,0,4,23,11,11,15,12,18,14,16,14,16
-35,-36,West,0,4,22,11,12,15,12,17,14,15,14,16
-36,-37,West,0,4,21,11,13,15,12,17,14,16,14,15
-37,-38,West,0,4,20,11,13,16,13,17,14,16,14,16
-38,-39,West,0,4,19,11,14,16,13,16,14,17,14,16
-39,-40,North,0,4,19,12,14,15,13,15,15,17,14,15
-40,-41,North,0,4,19,13,15,15,13,16,14,17,13,15
-41,-42,North,0,4,19,14,15,15,13,17,15,17,13,15
-42,-43,North,0,4,19,15,15,15,13,17,16,17,12,15
-43,-44,North,0,4,19,16,16,15,12,17,15,17,11,15
-44,-45,North,0,4,19,17,17,15,12,18,15,18,11,15
-45,-46,West,0,4,18,17,17,15,12,17,15,17,10,15
-46,-47,West,0,4,17,17,17,15,12,17,15,17,11,15
-47,-48,West,0,4,16,17,16,15,11,17,15,18,10,15
-48,-49,West,0,4,15,17,16,15,10,17,15,18,11,15
-49,-50,West,0,4,14,17,17,15,11,17,15,19,10,15
-50,-51,West,0,4,13,17,16,15,12,17,15,18,11,15
149,148,West,0,4,12,17,15,15,-1,-1,15,17,11,15
148,147,West,0,4,11,17,14,15,-1,-1,16,17,11,15
147,146,West,0,4,10,17,14,16,-1,-1,15,17,10,15
146,145,West,0,4,9,17,13,16,-1,-1,15,17,10,15
145,144,West,0,4,8,17,13,15,-1,-1,14,17,10,15
144,143,East,0,4,9,17,13,15,-1,-1,13,17,10,15
143,142,East,0,4,10,17,13,15,-1,-1,12,17,11,15
142,141,East,0,4,11,17,14,15,-1,-1,12,18,11,15
341,340,East,0,4,12,17,14,15,-1,-1,-1,-1,10,15
340,339,East,0,4,13,17,14,15,-1,-1,-1,-1,11,15
339,338,East,0,4,14,17,14,16,-1,-1,-1,-1,10,15
338,337,East,0,4,15,17,14,16,-1,-1,-1,-1,11,15
337,336,East,0,4,16,17,14,15,-1,-1,-1,-1,12,15
336,335,East,0,4,17,17,14,16,-1,-1,-1,-1,12,15
335,334,West,0,4,16,17,13,16,-1,-1,-1,-1,13,15
334,333,West,0,4,15,17,13,17,-1,-1,-1,-1,13,16
333,332,West,0,4,14,17,12,17,-1,-1,-1,-1,13,15
332,331,South,0,4,14,16,13,17,-1,-1,-1,-1,14,15
531,530,South,0,4,14,15,13,16,-1,-1,-1,-1,-1,-1
530,529,South,0,4,14,15,13,17,-1,-1,-1,-1,-1,-1
529,528,West,0,4,13,15,13,16,-1,-1,-1,-1,-1,-1
528,527,West,0,4,12,15,13,15,-1,-1,-1,-1,-1,-1
527,526,West,0,4,11,15,12,15,-1,-1,-1,-1,-1,-1
526,525,West,0,4,10,15,11,15,-1,-1,-1,-1,-1,-1
0,-1,Stop,121,2,4,12,9,3,11,7,19,12,22,9
-1,-2,Stop,121,2,4,12,9,3,11,7,19,12,22,9
-2,-3,Stop,121,2,4,12,9,3,11,7,19,12,22,9
-3,-4,Stop,121,2,4,12,9,3,11,7,19,12,22,9
-4,-5,Stop,121,2,4,12,9,3,11,7,19,12,22,9
-5,-6,Stop,121,2,4,12,9,3,11,7,19,12,22,9
-6,-7,Stop,121,2,4,12,9,3,11,7,19,12,22,9
-7,-8,Stop,121,2,4,12,9,3,11,7,19,12,22,9
-8,-9,East,121,2,5,12,9,3,11,7,19,12,22,9
-9,-10,East,121,2,6,12,9,3,11,7,19,12,22,9
90,89,East,120,2,7,12,9,3,11,7,19,12,22,9
189,188,East,119,2,8,12,9,3,11,7,19,12,22,9
288,287,East,118,2,9,12,9,3,11,7,19,12,22,9
387,386,East,117,2,10,12,9,3,11,7,19,12,22,9
386,385,East,117,2,11,12,9,3,11,7,19,12,22,9
385,384,East,117,2,12,12,9,3,11,7,19,12,22,9
484,483,South,116,2,12,11,9,3,11,7,19,12,22,9
583,582,West,115,2,11,11,9,3,11,7,19,12,22,9
682,681,West,114,2,10,11,9,3,11,7,19,12,22,9
681,680,West,114,2,9,11,9,3,11,7,19,12,22,9
680,679,West,114,2,8,11,9,3,11,7,19,12,22,9
779,778,West,113,2,7,11,9,3,11,7,19,12,22,9
878,877,West,112,2,6,11,9,3,11,7,19,12,22,9
977,976,West,111,2,5,11,9,3,11,7,19,12,22,9
1076,1075,South,110,2,5,10,9,3,11,7,19,12,22,9
1075,1074,South,110,2,5,9,9,3,11,7,19,12,22,9
1174,1173,South,109,2,5,8,9,3,11,7,19,12,22,9
1273,1272,South,108,2,5,7,9,3,11,7,19,12,22,9
1372,1371,East,107,2,6,7,9,3,11,7,19,12,22,9
1471,1470,East,106,2,7,7,9,3,11,7,19,12,22,9
1470,1469,East,106,2,8,7,9,3,11,7,19,12,22,9
1469,1468,East,106,2,9,7,9,3,11,7,19,12,22,9
1568,1567,East,105,2,10,7,9,3,11,7,19,12,22,9
