@RELATION training_tutorial1


   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE prev_score NUMERIC
   @ATTRIBUTE prev_action {Stop,West,East,North,South}
   @ATTRIBUTE num_food NUMERIC
   @ATTRIBUTE num_capsules NUMERIC
   @ATTRIBUTE pacman_x NUMERIC
   @ATTRIBUTE pacman_y NUMERIC
   @ATTRIBUTE ghost0_x NUMERIC
   @ATTRIBUTE ghost0_y NUMERIC
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC


   @data
-4,-5,West,0,0,3,6,6,4,8,6,11,3,16,6
-5,-6,East,0,0,4,6,6,4,8,6,11,3,16,6
-6,-7,West,0,0,3,6,6,4,8,6,11,3,16,6
-7,-8,East,0,0,4,6,6,4,8,6,11,3,16,6
-8,-9,East,0,0,5,6,6,4,8,6,11,3,16,6
-9,-10,East,0,0,6,6,6,4,8,6,11,3,16,6
-10,-11,East,0,0,7,6,6,4,8,6,11,3,16,6
189,188,East,0,0,8,6,6,4,-1,-1,11,3,16,6
188,187,East,0,0,9,6,6,4,-1,-1,11,3,16,6
187,186,West,0,0,8,6,6,4,-1,-1,11,3,16,6
186,185,West,0,0,7,6,6,4,-1,-1,11,3,16,6
185,184,South,0,0,7,5,6,4,-1,-1,11,3,16,6
184,183,South,0,0,7,4,6,4,-1,-1,11,3,16,6
383,382,West,0,0,6,4,-1,-1,-1,-1,11,3,16,6
382,381,East,0,0,7,4,-1,-1,-1,-1,11,3,16,6
381,380,East,0,0,8,4,-1,-1,-1,-1,11,3,16,6
380,379,East,0,0,9,4,-1,-1,-1,-1,11,3,16,6
379,378,East,0,0,10,4,-1,-1,-1,-1,11,3,16,6
378,377,South,0,0,10,3,-1,-1,-1,-1,11,3,16,6
577,576,East,0,0,11,3,-1,-1,-1,-1,-1,-1,16,6
576,575,East,0,0,12,3,-1,-1,-1,-1,-1,-1,16,6
575,574,East,0,0,13,3,-1,-1,-1,-1,-1,-1,16,6
574,573,North,0,0,13,4,-1,-1,-1,-1,-1,-1,16,6
573,572,East,0,0,14,4,-1,-1,-1,-1,-1,-1,16,6
572,571,North,0,0,14,5,-1,-1,-1,-1,-1,-1,16,6
571,570,North,0,0,14,6,-1,-1,-1,-1,-1,-1,16,6
570,569,East,0,0,15,6,-1,-1,-1,-1,-1,-1,16,6
0,-1,Stop,0,0,1,18,5,9,11,3,17,6,25,13
-1,-2,South,0,0,1,17,5,9,11,3,17,6,25,13
-2,-3,South,0,0,1,16,5,9,11,3,17,6,25,13
-3,-4,South,0,0,1,15,5,9,11,3,17,6,25,13
-4,-5,South,0,0,1,14,5,9,11,3,17,6,25,13
