@relation 'training_keyboard-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,3'

@attribute score numeric
@attribute prev_score numeric
@attribute num_food numeric
@attribute num_capsules numeric
@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute ghost0_x numeric
@attribute ghost0_y numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute prev_action {Stop,West,East,North,South}

@data
-34,-35,0,4,23,11,11,15,12,18,14,16,14,16,West
-35,-36,0,4,22,11,12,15,12,17,14,15,14,16,West
-36,-37,0,4,21,11,13,15,12,17,14,16,14,15,West
-37,-38,0,4,20,11,13,16,13,17,14,16,14,16,West
-38,-39,0,4,19,11,14,16,13,16,14,17,14,16,West
-39,-40,0,4,19,12,14,15,13,15,15,17,14,15,North
-40,-41,0,4,19,13,15,15,13,16,14,17,13,15,North
-41,-42,0,4,19,14,15,15,13,17,15,17,13,15,North
-42,-43,0,4,19,15,15,15,13,17,16,17,12,15,North
-43,-44,0,4,19,16,16,15,12,17,15,17,11,15,North
-44,-45,0,4,19,17,17,15,12,18,15,18,11,15,North
-45,-46,0,4,18,17,17,15,12,17,15,17,10,15,West
-46,-47,0,4,17,17,17,15,12,17,15,17,11,15,West
-47,-48,0,4,16,17,16,15,11,17,15,18,10,15,West
-48,-49,0,4,15,17,16,15,10,17,15,18,11,15,West
-49,-50,0,4,14,17,17,15,11,17,15,19,10,15,West
-50,-51,0,4,13,17,16,15,12,17,15,18,11,15,West
149,148,0,4,12,17,15,15,-1,-1,15,17,11,15,West
148,147,0,4,11,17,14,15,-1,-1,16,17,11,15,West
147,146,0,4,10,17,14,16,-1,-1,15,17,10,15,West
146,145,0,4,9,17,13,16,-1,-1,15,17,10,15,West
145,144,0,4,8,17,13,15,-1,-1,14,17,10,15,West
144,143,0,4,9,17,13,15,-1,-1,13,17,10,15,East
143,142,0,4,10,17,13,15,-1,-1,12,17,11,15,East
142,141,0,4,11,17,14,15,-1,-1,12,18,11,15,East
341,340,0,4,12,17,14,15,-1,-1,-1,-1,10,15,East
340,339,0,4,13,17,14,15,-1,-1,-1,-1,11,15,East
339,338,0,4,14,17,14,16,-1,-1,-1,-1,10,15,East
338,337,0,4,15,17,14,16,-1,-1,-1,-1,11,15,East
337,336,0,4,16,17,14,15,-1,-1,-1,-1,12,15,East
336,335,0,4,17,17,14,16,-1,-1,-1,-1,12,15,East
335,334,0,4,16,17,13,16,-1,-1,-1,-1,13,15,West
334,333,0,4,15,17,13,17,-1,-1,-1,-1,13,16,West
333,332,0,4,14,17,12,17,-1,-1,-1,-1,13,15,West
332,331,0,4,14,16,13,17,-1,-1,-1,-1,14,15,South
531,530,0,4,14,15,13,16,-1,-1,-1,-1,-1,-1,South
530,529,0,4,14,15,13,17,-1,-1,-1,-1,-1,-1,South
